EventName,EventUrl,EventDate
L'ISTIC Borj Cédria renforce la carrière entrepreneuriale de ses étudiants grâce à de nouveaux partenariats,/fr/evenements/35-evenements/signature-de-3-conventions.html,2023-06-11
First Issue of our English Magazine : ISTIC Annual 21-22,/fr/evenements/35-evenements/first-issue-of-our-english-magazine-istic-annual-21-22.html,2023-03-08
"Workshop :Human-Centered Integration, Pr. YOSHIOKA Rentaro","/fr/evenements/35-evenements/workshop-human-centered-integration,-pr-yoshioka-rentaro.html",2023-09-14
Conseil de l'Université de Carthage à l'ISTIC de Borj Cédria,/fr/evenements/35-evenements/conseil-de-l-université-de-carthage-à-l-istic-de-borj-cédria.html,2023-10-02
